trader_id,date,time,symbol,side,quantity,price,commission,total_amount,order_type,notes
T001,2024-01-02,09:35:00,AAPL,Buy,100,185.50,9.95,18559.95,Market,Opening position
T001,2024-01-05,14:20:00,AAPL,Sell,100,188.30,9.95,18820.05,Limit,Take profit
T001,2024-01-08,10:15:00,MSFT,Buy,50,370.20,9.95,18519.95,Market,Tech sector bet
T001,2024-01-15,11:30:00,MSFT,Sell,50,375.80,9.95,18780.05,Limit,Earnings run-up
T001,2024-01-18,13:45:00,GOOGL,Buy,30,142.10,9.95,4272.95,Market,AI narrative
T001,2024-01-25,15:10:00,GOOGL,Sell,30,145.80,9.95,4364.05,Limit,Quick profit
T001,2024-02-01,09:20:00,NVDA,Buy,40,615.50,9.95,24629.95,Market,AI chip leader
T001,2024-02-08,14:55:00,NVDA,Sell,40,720.30,9.95,28802.05,Limit,Strong momentum
T001,2024-02-12,10:40:00,TSLA,Buy,60,195.20,9.95,11721.95,Market,EV rebound
T001,2024-02-20,16:00:00,TSLA,Sell,60,188.40,9.95,11294.05,Stop,Cut loss
T001,2024-03-01,09:30:00,META,Buy,45,478.90,9.95,21560.45,Market,Social media recovery
T001,2024-03-08,15:20:00,META,Sell,45,495.30,9.95,22288.55,Limit,Target reached
T002,2024-01-02,09:40:00,AAPL,Buy,150,185.50,9.95,27834.95,Market,Core holding
T002,2024-01-03,10:15:00,MSFT,Buy,80,368.90,9.95,29521.95,Market,Diversification
T002,2024-01-10,14:30:00,AAPL,Sell,150,187.20,9.95,28070.05,Limit,Partial profit
T002,2024-01-12,11:20:00,MSFT,Sell,80,372.50,9.95,29790.05,Limit,Rebalance
T002,2024-01-22,13:15:00,GOOGL,Buy,100,141.30,9.95,14139.95,Market,Search dominance
T002,2024-02-05,15:45:00,GOOGL,Sell,100,144.90,9.95,14480.05,Limit,Clean exit
T002,2024-02-08,09:30:00,NVDA,Buy,35,615.80,9.95,21562.95,Market,Chip momentum
T002,2024-02-15,14:20:00,NVDA,Sell,35,695.40,9.95,24329.05,Limit,Good run
T002,2024-02-18,10:50:00,AMZN,Buy,90,155.20,9.95,13977.95,Market,E-commerce play
T002,2024-02-28,16:15:00,AMZN,Sell,90,168.90,9.95,15191.05,Limit,AWS growth
T002,2024-03-05,09:45:00,JPM,Buy,65,183.40,9.95,11930.95,Market,Financial sector
T002,2024-03-15,14:30:00,JPM,Sell,65,189.70,9.95,12320.55,Limit,Bank rally
T002,2024-03-18,10:20:00,UNH,Buy,25,512.30,9.95,12817.45,Market,Healthcare stable
T002,2024-03-25,15:50:00,UNH,Sell,25,528.90,9.95,13213.55,Limit,Steady gain
T003,2024-01-02,10:00:00,TSLA,Buy,200,195.80,9.95,39169.95,Market,High conviction
T003,2024-01-04,15:30:00,TSLA,Sell,200,198.50,9.95,39690.05,Limit,Quick flip
T003,2024-01-09,09:45:00,NVDA,Buy,25,608.30,9.95,15217.45,Market,GPU shortage
T003,2024-01-18,14:10:00,NVDA,Sell,25,658.90,9.95,16462.55,Limit,Strong demand
T003,2024-01-23,11:25:00,AAPL,Buy,120,183.40,9.95,22017.95,Market,iPhone cycle
T003,2024-02-02,13:50:00,AAPL,Sell,120,189.70,9.95,22754.05,Limit,Earnings beat
T003,2024-02-06,10:20:00,MSFT,Buy,45,371.80,9.95,16740.95,Market,Cloud growth
T003,2024-02-14,15:40:00,MSFT,Sell,45,378.20,9.95,17018.05,Limit,Azure strength
T003,2024-02-19,09:55:00,GOOGL,Buy,85,143.50,9.95,12207.45,Market,AI integration
T003,2024-02-27,14:35:00,GOOGL,Sell,85,146.80,9.95,12468.05,Limit,Bard momentum
T003,2024-03-04,10:15:00,AMD,Buy,110,178.20,9.95,19611.95,Market,CPU competition
T003,2024-03-12,14:50:00,AMD,Sell,110,185.60,9.95,20406.05,Limit,Market share gain
T003,2024-03-19,09:30:00,COIN,Buy,75,168.40,9.95,12639.95,Market,Crypto rally
T003,2024-03-26,15:20:00,COIN,Sell,75,182.90,9.95,13707.55,Limit,BTC momentum
T004,2024-01-02,09:50:00,MSFT,Buy,100,368.50,9.95,36859.95,Market,Safe bet
T004,2024-01-08,14:25:00,MSFT,Sell,100,374.30,9.95,37420.05,Limit,Short term gain
T004,2024-01-11,10:35:00,AAPL,Buy,180,184.20,9.95,33165.95,Market,Blue chip
T004,2024-01-16,15:20:00,AAPL,Sell,180,186.90,9.95,33632.05,Limit,Small profit
T004,2024-01-24,11:40:00,NVDA,Buy,28,612.40,9.95,17157.15,Market,AI hype
T004,2024-02-03,13:15:00,NVDA,Sell,28,680.50,9.95,19053.05,Limit,Explosive move
T004,2024-02-09,09:30:00,GOOGL,Buy,110,142.80,9.95,15717.95,Market,Undervalued
T004,2024-02-16,16:00:00,GOOGL,Sell,110,145.30,9.95,15973.05,Limit,Fair value
T004,2024-02-21,10:15:00,AMZN,Buy,75,157.90,9.95,11852.45,Market,Retail strong
T004,2024-02-29,14:50:00,AMZN,Sell,75,171.20,9.95,12830.05,Limit,Prime growth
T004,2024-03-07,09:45:00,V,Buy,55,278.30,9.95,15316.45,Market,Payment leader
T004,2024-03-14,15:30:00,V,Sell,55,285.60,9.95,15698.05,Limit,Solid performer
T004,2024-03-21,10:50:00,JNJ,Buy,80,162.50,9.95,13009.95,Market,Defensive play
T004,2024-03-28,14:20:00,JNJ,Sell,80,167.80,9.95,13414.05,Limit,Healthcare steady
T005,2024-01-02,10:10:00,NVDA,Buy,50,605.20,9.95,30269.95,Market,Aggressive bet
T005,2024-01-12,15:35:00,NVDA,Sell,50,642.80,9.95,32130.05,Limit,Quick gain
T005,2024-01-17,09:20:00,TSLA,Buy,140,196.50,9.95,27519.95,Market,Volatility play
T005,2024-01-26,13:45:00,TSLA,Sell,140,192.80,9.95,26982.05,Stop,Momentum lost
T005,2024-02-01,10:55:00,AAPL,Buy,95,186.30,9.95,17708.45,Market,Recovery trade
T005,2024-02-10,14:30:00,AAPL,Sell,95,190.40,9.95,18078.05,Limit,Small win
T005,2024-02-13,11:15:00,MSFT,Buy,55,373.90,9.95,20564.45,Market,Tech leader
T005,2024-02-22,15:50:00,MSFT,Sell,55,376.20,9.95,20681.05,Limit,Minimal gain
T005,2024-02-26,09:40:00,GOOGL,Buy,72,144.70,9.95,10428.35,Market,Search giant
T005,2024-02-29,16:20:00,GOOGL,Sell,72,147.90,9.95,10648.85,Limit,Exit clean
T005,2024-03-06,10:30:00,RIVN,Buy,150,11.80,9.95,1779.95,Market,EV speculation
T005,2024-03-13,14:15:00,RIVN,Sell,150,9.60,9.95,1430.05,Stop,Bad trade
T005,2024-03-20,09:50:00,PLTR,Buy,200,23.40,9.95,4689.95,Market,AI software
T005,2024-03-27,15:40:00,PLTR,Sell,200,21.90,9.95,4370.05,Stop,Overvalued
T006,2024-01-03,09:25:00,BRK.B,Buy,120,365.20,9.95,43833.95,Market,Value investing
T006,2024-01-17,14:40:00,BRK.B,Sell,120,371.80,9.95,44606.05,Limit,Buffett premium
T006,2024-01-24,10:30:00,WMT,Buy,200,162.40,9.95,32489.95,Market,Retail defensive
T006,2024-02-07,15:15:00,WMT,Sell,200,168.90,9.95,33770.05,Limit,Steady retail
T006,2024-02-14,09:40:00,PG,Buy,150,158.30,9.95,23754.95,Market,Consumer staple
T006,2024-02-28,14:25:00,PG,Sell,150,162.70,9.95,24395.05,Limit,Dividend play
T006,2024-03-08,10:20:00,KO,Buy,280,59.80,9.95,16753.95,Market,Classic hold
T006,2024-03-22,15:50:00,KO,Sell,280,61.40,9.95,17182.05,Limit,Brand value
T007,2024-01-05,09:35:00,TSLA,Buy,180,197.30,9.95,35523.95,Market,Growth stock
T007,2024-01-19,14:20:00,TSLA,Sell,180,203.60,9.95,36638.05,Limit,Musk factor
T007,2024-01-26,10:45:00,NFLX,Buy,40,478.90,9.95,19165.95,Market,Streaming king
T007,2024-02-09,15:30:00,NFLX,Sell,40,495.20,9.95,19798.05,Limit,Content wins
T007,2024-02-16,09:50:00,DIS,Buy,130,112.30,9.95,14608.95,Market,Entertainment
T007,2024-03-01,14:35:00,DIS,Sell,130,118.60,9.95,15408.05,Limit,Parks recovery
T007,2024-03-12,10:15:00,BA,Buy,55,208.40,9.95,11471.95,Market,Aerospace bet
T007,2024-03-26,15:45:00,BA,Sell,55,195.70,9.95,10753.55,Stop,Quality issues
